Tempo,RPM,Acelerador,Freio
20:45:59.660,11490,92,0
20:45:59.718,10241,94,0
20:45:59.742,12749,76,0
20:45:59.771,4656,0,78
20:45:59.815,9431,76,0
20:45:59.830,9138,53,0
20:45:59.846,9391,100,0
20:45:59.862,8086,57,0
20:45:59.879,11217,59,0
20:45:59.895,10185,60,0
20:45:59.910,11637,63,0
20:45:59.927,9380,66,0
20:45:59.943,10719,79,0
20:45:59.958,9655,64,0
20:45:59.974,10373,87,0
20:45:59.991,8390,65,0
20:46:00.006,10646,100,0
20:46:00.023,11565,97,0
20:46:00.049,10715,70,0
20:46:00.076,10085,68,0
20:46:00.103,12356,87,0
20:46:00.134,6496,0,71
20:46:00.162,9008,51,0
20:46:00.188,12142,80,0
20:46:00.215,12500,71,0
20:46:00.244,11049,56,0
20:46:00.274,9615,69,0
20:46:00.350,10980,99,0
20:46:00.379,9473,71,0
20:46:00.392,9547,64,0
20:46:00.405,11048,98,0
20:46:00.421,8954,92,0
20:46:00.433,11055,94,0
20:46:00.450,12560,97,0
20:46:00.463,12470,98,0
20:46:00.477,10899,86,0
20:46:00.493,12475,61,0
20:46:00.510,9821,91,0
20:46:00.526,6999,0,94
20:46:00.545,9025,99,0
20:46:00.557,8596,57,0
20:46:00.573,9252,90,0
20:46:00.589,8090,90,0
20:46:00.605,5687,0,69
20:46:00.622,9877,73,0
20:46:00.636,9757,74,0
20:46:00.653,10947,87,0
20:46:00.669,9670,96,0
20:46:00.685,11229,78,0
20:46:00.701,10598,68,0
20:46:00.717,11114,58,0
20:46:00.733,12088,71,0
20:46:00.748,10374,68,0
20:46:00.765,11119,71,0
20:46:00.781,9239,99,0
20:46:00.797,12647,82,0
20:46:00.813,11012,62,0
20:46:00.829,12841,61,0
20:46:00.845,10644,93,0
20:46:00.862,5434,0,97
20:46:00.877,12173,62,0
20:46:00.893,8205,68,0
20:46:00.910,8311,51,0
20:46:00.925,8553,91,0
20:46:00.940,12333,67,0
20:46:00.957,10131,90,0
20:46:00.973,10487,64,0
20:46:00.989,12970,88,0
20:46:01.005,11477,95,0
20:46:01.021,8140,66,0
20:46:01.037,11859,82,0
20:46:01.053,9747,68,0
20:46:01.080,8936,91,0
20:46:01.104,11943,98,0
20:46:01.128,9414,89,0
20:46:01.152,12114,73,0
20:46:01.176,12390,62,0
20:46:01.199,11668,80,0
20:46:01.224,9114,61,0
20:46:01.249,12581,56,0
20:46:01.274,8736,68,0
20:46:01.299,10117,77,0
20:46:01.322,12498,68,0
20:46:01.340,9596,82,0
20:46:01.354,10344,58,0
20:46:01.370,10260,83,0
