Volta,Tempo_Volta,RPM,Acelerador,Freio
1,0.061,8221,77,0
1,0.075,9611,63,0
1,0.09,10535,66,0
1,0.107,9777,100,0
1,0.123,5760,0,60
1,0.139,8934,94,0
1,0.284,9490,74,0
1,0.317,11292,70,0
1,0.333,10213,88,0
1,0.35,10701,59,0
1,0.365,10293,99,0
1,0.386,11453,81,0
1,0.403,10941,91,0
1,0.418,10328,78,0
1,0.429,11470,84,0
1,0.446,9429,69,0
1,0.462,9968,67,0
1,0.478,11222,99,0
1,0.495,4604,0,93
1,0.51,12821,87,0
1,0.526,9290,83,0
1,0.541,9543,65,0
1,0.557,10797,99,0
1,0.573,9353,61,0
1,0.59,10380,86,0
1,0.606,8793,94,0
1,0.621,10501,94,0
1,0.638,12780,71,0
1,0.654,11088,92,0
1,0.669,12385,87,0
1,0.686,11584,88,0
1,0.702,12072,80,0
1,0.718,9579,99,0
1,0.734,8016,90,0
1,0.751,12467,71,0
1,0.767,9968,99,0
1,0.781,10869,72,0
1,0.797,9300,97,0
1,0.815,10221,85,0
1,0.829,12898,88,0
1,0.846,11306,87,0
1,0.862,9224,60,0
1,0.878,10451,78,0
1,0.894,12291,90,0
1,0.91,8031,78,0
1,0.925,9154,83,0
1,0.942,9078,77,0
1,0.957,6831,0,74
1,0.974,12371,66,0
1,0.99,11244,71,0
1,1.006,12692,86,0
1,1.022,10040,52,0
1,1.038,10579,59,0
1,1.054,10014,96,0
1,1.069,10040,71,0
1,1.086,10785,64,0
1,1.101,9405,72,0
1,1.118,9674,70,0
1,1.135,10734,82,0
1,1.151,10698,81,0
1,1.166,9061,64,0
1,1.182,10853,73,0
1,1.199,10475,55,0
1,1.213,9621,67,0
1,1.229,9967,65,0
1,1.246,8749,72,0
1,1.275,10703,52,0
1,1.31,10015,50,0
1,1.326,6229,0,60
1,1.345,11670,62,0
1,1.366,8415,88,0
1,1.389,10545,92,0
1,1.405,9988,99,0
1,1.421,12094,62,0
